transaction_id,timestamp,store_id,product_id,product_name,category,quantity,unit_price,payment_type,customer_id,inventory_on_hand
T00001,2024-01-01 00:00:00,Store_4,P030,Product_P019,Clothing,4,1392.04,UPI,C1792,34
T00002,2024-01-01 01:00:00,Store_5,P023,Product_P024,Electronics,4,1959.11,Card,C1518,187
T00003,2024-01-01 02:00:00,Store_3,P016,Product_P026,Groceries,1,510.11,Card,C1091,118
T00004,2024-01-01 03:00:00,Store_5,P014,Product_P045,Clothing,3,378.62,Card,C1360,104
T00005,2024-01-01 04:00:00,Store_5,P010,Product_P028,Electronics,2,716.94,UPI,C1945,62
T00006,2024-01-01 05:00:00,Store_2,P007,Product_P046,Groceries,4,370.58,UPI,C1122,57
T00007,2024-01-01 06:00:00,Store_3,P045,Product_P018,Home,4,604.12,UPI,C1336,79
T00008,2024-01-01 07:00:00,Store_3,P037,Product_P044,Groceries,1,1498.82,Cash,C1607,185
T00009,2024-01-01 08:00:00,Store_3,P029,Product_P036,Home,4,981.17,Wallet,C1512,141
T00010,2024-01-01 09:00:00,Store_5,P003,Product_P042,Home,4,781.33,UPI,C1602,161
T00011,2024-01-01 10:00:00,Store_4,P015,Product_P029,Home,2,769.01,Cash,C1427,168
T00012,2024-01-01 11:00:00,Store_3,P036,Product_P017,Stationery,2,429.33,UPI,C1995,92
T00013,2024-01-01 12:00:00,Store_5,P047,Product_P004,Stationery,3,922.45,Wallet,C1432,166
T00014,2024-01-01 13:00:00,Store_2,P046,Product_P044,Home,4,1268.04,UPI,C1006,142
T00015,2024-01-01 14:00:00,Store_4,P019,Product_P045,Electronics,3,321.35,Cash,C1119,91
T00016,2024-01-01 15:00:00,Store_2,P013,Product_P029,Home,3,1946.99,UPI,C1386,113
T00017,2024-01-01 16:00:00,Store_4,P042,Product_P004,Clothing,2,914.4,UPI,C1349,84
T00018,2024-01-01 17:00:00,Store_5,P021,Product_P010,Home,2,1898.52,UPI,C1640,190
T00019,2024-01-01 18:00:00,Store_1,P037,Product_P025,Stationery,1,312.58,Card,C1690,98
T00020,2024-01-01 19:00:00,Store_4,P027,Product_P031,Stationery,2,1546.07,UPI,C1097,73
T00021,2024-01-01 20:00:00,Store_2,P029,Product_P003,Clothing,3,1254.39,Cash,C1933,44
